model,configuration,terminal_price,price_change,impermanent_loss
Uniswap V2,0.30% fee,0.5,-0.5,-0.057190958417936644
Uniswap V2,0.30% fee,0.8,-0.2,-0.006192010000093506
Uniswap V2,0.30% fee,0.95,-0.05,-0.0003287851477985493
Uniswap V2,0.30% fee,1.05,0.05,-0.00029748624784398103
Uniswap V2,0.30% fee,1.2,0.2,-0.004140804536061582
Uniswap V2,0.30% fee,1.5,0.5,-0.020204102886728803
Uniswap V3,"narrow [0.95, 1.05]",0.5,-0.5,-0.3299763153401275
Uniswap V3,"narrow [0.95, 1.05]",0.8,-0.2,-0.10174511771072214
Uniswap V3,"narrow [0.95, 1.05]",0.95,-0.05,-0.013297198794935738
Uniswap V3,"narrow [0.95, 1.05]",1.05,0.05,-0.012046240363350336
Uniswap V3,"narrow [0.95, 1.05]",1.2,0.2,-0.07789083030003685
Uniswap V3,"narrow [0.95, 1.05]",1.5,0.5,-0.18634665673042183
Uniswap V3,"medium [0.80, 1.20]",0.5,-0.5,-0.31216738375322417
Uniswap V3,"medium [0.80, 1.20]",0.8,-0.2,-0.06358893302521518
Uniswap V3,"medium [0.80, 1.20]",0.95,-0.05,-0.003404017027957451
Uniswap V3,"medium [0.80, 1.20]",1.05,0.05,-0.00309475269410453
Uniswap V3,"medium [0.80, 1.20]",1.2,0.2,-0.043353495231237216
Uniswap V3,"medium [0.80, 1.20]",1.5,0.5,-0.14918959680058375
Uniswap V3,"wide [0.50, 2.00]",0.5,-0.5,-0.19526214587563506
Uniswap V3,"wide [0.50, 2.00]",0.8,-0.2,-0.021140844520668778
Uniswap V3,"wide [0.50, 2.00]",0.95,-0.05,-0.0011225427107206531
Uniswap V3,"wide [0.50, 2.00]",1.05,0.05,-0.0010156815820084875
Uniswap V3,"wide [0.50, 2.00]",1.2,0.2,-0.014137591006157635
Uniswap V3,"wide [0.50, 2.00]",1.5,0.5,-0.06898112209145069
Curve StableSwap,A=10,0.95,-0.05,-0.0034166041863802343
Curve StableSwap,A=10,1.05,0.05,-0.003106218049367615
Curve StableSwap,A=100,0.95,-0.05,-0.013321137111503845
Curve StableSwap,A=100,1.05,0.05,-0.012445707045043997
Curve StableSwap,A=1000,0.95,-0.05,-0.021007885588471997
Curve StableSwap,A=1000,1.05,0.05,-0.0198773976563843
Balancer Weighted,50/50,0.5,-0.5,-0.05719095841793653
Balancer Weighted,50/50,0.8,-0.2,-0.006192010000093284
Balancer Weighted,50/50,0.95,-0.05,-0.00032878514779843826
Balancer Weighted,50/50,1.05,0.05,-0.00029748624784398103
Balancer Weighted,50/50,1.2,0.2,-0.004140804536061582
Balancer Weighted,50/50,1.5,0.5,-0.02020410288672858
Balancer Weighted,80/20,0.5,-0.5,-0.04275137083580327
Balancer Weighted,80/20,0.8,-0.2,-0.004152807055929242
Balancer Weighted,80/20,0.95,-0.05,-0.0002126183832915629
Balancer Weighted,80/20,1.05,0.05,-0.00018856403730171944
Balancer Weighted,80/20,1.2,0.2,-0.0025594786179711226
Balancer Weighted,80/20,1.5,0.5,-0.012027237698148063
