model,configuration,annual_volatility,paths,mean_terminal_price,mean_impermanent_loss,mean_fee_return,mean_absolute_lp_return,median_absolute_lp_return,p05_absolute_lp_return,mean_excess_return_vs_hold,median_excess_return_vs_hold,p05_excess_return_vs_hold,underperformance_probability,ever_exit_probability,mean_in_range_fraction
Uniswap V2,0.30% fee,0.2,10000,1.0011942336674358,-0.00041326284314930506,0.04499999999999999,0.04518332179231166,0.0448105272590964,-0.0016895358551546169,0.04459708479350047,0.04500475635374568,0.04177832150796294,0.0,0.0,1.0
Uniswap V3,"narrow [0.95, 1.05]",0.2,10000,1.0011942336674358,-0.0133376864485395,0.035864549999999995,0.023100967269429083,0.035983713734066836,-0.056980285198457374,0.022542174487329147,0.03241339688788025,-0.027277516437062832,0.1837,0.6539,0.79699
Uniswap V3,"medium [0.80, 1.20]",0.2,10000,1.0011942336674358,-0.004287951269903415,0.04499189999999999,0.04123805844745646,0.04482849163552982,-0.007547545187929295,0.040710661448384394,0.04309902633085705,0.028170859921876068,0.0017,0.0015,0.99982
Uniswap V3,"wide [0.50, 2.00]",0.2,10000,1.0011942336674358,-0.0014109676039052318,0.04499999999999999,0.04418433219130626,0.04481048386518627,-0.004320923328236847,0.04359938003274454,0.04450416712103922,0.0388398020364034,0.0,0.0,1.0
Balancer Weighted,50/50,0.2,10000,1.0011942336674358,-0.0004132628431490823,0.04499999999999999,0.045183321792311895,0.04481052725909662,-0.0016895358551546058,0.044597084793500705,0.0450047563537459,0.04177832150796338,0.0,0.0,1.0
Balancer Weighted,80/20,0.2,10000,1.0011942336674358,-0.0002648024691687856,0.04499999999999999,0.04569046968871685,0.04469686087036384,-0.028650276485043515,0.04478749649444087,0.04501363337831188,0.0410127635813771,0.0,0.0,1.0
Uniswap V2,0.30% fee,0.6,10000,1.0036401426625552,-0.0037035410639365183,0.04499999999999999,0.043100559180740454,0.03951511841020772,-0.09289263714566094,0.04154742253179397,0.04391735389123885,0.029042152984271808,0.0012,0.0,1.0
Uniswap V3,"narrow [0.95, 1.05]",0.6,10000,1.0036401426625552,-0.057743662467537114,0.016867649999999998,-0.039173764904033154,0.013542566019413282,-0.23743542889180813,-0.040811354442844734,-0.02978853573648954,-0.15135594644438954,0.7019,0.9995,0.37483666666666665
Uniswap V3,"medium [0.80, 1.20]",0.6,10000,1.0036401426625552,-0.03440523501824416,0.040247099999999994,0.007476074897029085,0.039563500333249624,-0.17745964503835882,0.006095442497301178,0.02646615515902928,-0.09864317831428716,0.2971,0.402,0.89438
Uniswap V3,"wide [0.50, 2.00]",0.6,10000,1.0036401426625552,-0.01264467306247649,0.044999549999999985,0.03412041777833366,0.039478803374797033,-0.11584502343451968,0.032605712216347275,0.039475923098074794,-0.003976012975888235,0.0595,0.0002,0.9999899999999999
Balancer Weighted,50/50,0.6,10000,1.0036401426625552,-0.003703541063936296,0.04499999999999999,0.04310055918074068,0.03951511841020805,-0.09289263714566082,0.0415474225317942,0.043917353891239075,0.02904215298427203,0.0012,0.0,1.0
Balancer Weighted,80/20,0.6,10000,1.0036401426625552,-0.0024020651215622534,0.04499999999999999,0.04552792320344504,0.03623864053052939,-0.1663248324123823,0.043323739104481056,0.04531019599382846,0.030383077216789366,0.0003,0.0,1.0
Uniswap V2,0.30% fee,1.0,10000,1.0061512115255746,-0.010225425078144406,0.04499999999999999,0.03776993090073905,0.027764451973770643,-0.18047986347811984,0.03554950076258348,0.04119323474795722,0.00578272000962925,0.037,0.0,1.0
Uniswap V3,"narrow [0.95, 1.05]",1.0,10000,1.0061512115255746,-0.10336123706261581,0.010621950000000002,-0.08999143733228226,-0.005973951916441345,-0.38690416763509033,-0.09262479536883808,-0.0752339858682678,-0.2646190914304976,0.8523,1.0,0.23604333333333333
Uniswap V3,"medium [0.80, 1.20]",1.0,10000,1.0061512115255746,-0.07644258355817578,0.03210045,-0.04140191251351777,0.02397637279275977,-0.34150117458495416,-0.0438737127369329,-0.0132817886851066,-0.22385726991942245,0.5574,0.8062,0.7133433333333333
Uniswap V3,"wide [0.50, 2.00]",1.0,10000,1.0061512115255746,-0.03477306276215415,0.044830199999999994,0.012865725181498724,0.027405862443099505,-0.24185058314219582,0.010807993313610032,0.029695792276752453,-0.0878425462625914,0.2517,0.0249,0.9962266666666666
Balancer Weighted,50/50,1.0,10000,1.0061512115255746,-0.010225425078144189,0.04499999999999999,0.037769930900739275,0.027764451973770865,-0.18047986347811973,0.035549500762583695,0.04119323474795733,0.005782720009629683,0.037,0.0,1.0
Balancer Weighted,80/20,1.0,10000,1.0061512115255746,-0.006792129234469113,0.04499999999999999,0.04330212522090947,0.01756604418030261,-0.29056524491512437,0.04036482241330923,0.04461097353124599,0.016909137483367667,0.0119,0.0,1.0
